Date,Ticker,Open,High,Low,Close,Volume
,,AAPL,AAPL,AAPL,AAPL,AAPL
2000-01-03,AAPL,0.7863278462464374,0.8434979867180743,0.7624285589347508,0.8392807245254517,535796800
2000-01-04,AAPL,0.8116325020305791,0.829439386115911,0.7586796445543978,0.7685206532478333,512377600
2000-01-05,AAPL,0.7778923460408804,0.8289709296928053,0.7722693977861117,0.7797666788101196,778321600
2000-01-06,AAPL,0.7957005545906272,0.8022606981361322,0.7122873663902283,0.7122873663902283,767972800
2000-01-07,AAPL,0.7235339100069036,0.7572742100950559,0.7160366272483127,0.746027410030365,460734400
2000-01-10,AAPL,0.7647713959822849,0.7666457290704283,0.7104127833016536,0.7329062819480896,505064000
2000-01-11,AAPL,0.7193165681209445,0.7450901340882994,0.6785475884403069,0.6954172849655151,441548800
2000-01-12,AAPL,0.7122868906963679,0.7160364068483461,0.648555827442937,0.6537110805511475,976068800
2000-01-13,AAPL,0.7084206895656893,0.7404033695877514,0.6935428523741819,0.7254079580307007,1032684800
2000-01-14,AAPL,0.7497760385256035,0.7666457372400635,0.7450902307817903,0.7530561089515686,390376000
2000-01-18,AAPL,0.7572741444537661,0.7947630576451566,0.7530560817522902,0.7792982459068298,459177600
2000-01-19,AAPL,0.7919505809511663,0.8153812660963828,0.775080836015117,0.7989801168441772,597643200
2000-01-20,AAPL,0.8659914425664075,0.9109776391894465,0.8509960770606995,0.8509960770606995,1831132800
2000-01-21,AAPL,0.8566188748217488,0.8566188748217488,0.8261594533033159,0.8345947265625,495924800
2000-01-24,AAPL,0.8130384579047755,0.8453721655045664,0.7882020320899191,0.7966373562812805,440876800
2000-01-25,AAPL,0.7872648770757331,0.8481845262601752,0.767583655572463,0.8416234850883484,497145600
2000-01-26,AAPL,0.8247539186430015,0.8561504892219193,0.8228796354718828,0.826159656047821,367158400
2000-01-27,AAPL,0.8158495380747339,0.8472469399493209,0.8022599174308793,0.8247534036636353,340144000
2000-01-28,AAPL,0.8111641555371901,0.8313139225962055,0.7544625691830532,0.7619598507881165,423348800
2000-01-31,AAPL,0.7572742719643271,0.7788297812735843,0.7085385514769625,0.7778925895690918,701680000
2000-02-01,AAPL,0.7797668938915475,0.7872650278838772,0.7497761097759158,0.7516503930091858,318035200
2000-02-02,AAPL,0.7553999365597681,0.7657086949104797,0.7272825838063829,0.7408722639083862,464195200
2000-02-03,AAPL,0.7521187632196225,0.7816418435972984,0.7516501675253955,0.774612307548523,475193600
2000-02-04,AAPL,0.7792981997086326,0.8247537889346915,0.7769552710337632,0.8097584247589111,425320000
2000-02-07,AAPL,0.8097584268404973,0.8566189525235103,0.7942944168264472,0.8552131652832031,441067200
2000-02-08,AAPL,0.8547446716734484,0.8706772292851623,0.8341263562459356,0.8613057136535645,408643200
2000-02-09,AAPL,0.8556816544192004,0.878175148414769,0.8430291704092051,0.8444348573684692,299364800
2000-02-10,AAPL,0.8463102192953755,0.8538075516775279,0.8247538620814873,0.8509960770606995,302982400
2000-02-11,AAPL,0.8519331910272465,0.855681857317319,0.8116328010523042,0.8153814673423767,212251200
2000-02-14,AAPL,0.819598518758664,0.8688027698638549,0.8144441161331849,0.868334174156189,367539200
2000-02-15,AAPL,0.8641168157423769,0.8992627871710364,0.8636482201416797,0.8922332525253296,485744000
2000-02-16,AAPL,0.8828611931654474,0.8856734686357892,0.840686471066331,0.855681836605072,378246400
2000-02-17,AAPL,0.863648592561464,0.8659914714693634,0.8481846307525135,0.8613057136535645,289497600
2000-02-18,AAPL,0.8594314501957158,0.8650544004005437,0.8313141464703079,0.8341264724731445,233441600
2000-02-22,AAPL,0.8256911699146283,0.876769769650688,0.7999175470935647,0.8533390760421753,422296000
2000-02-23,AAPL,0.8490042322749644,0.8922336733922733,0.8322512058800399,0.8716144561767578,473099200
2000-02-24,AAPL,0.8795811331248484,0.8931708115652632,0.8378749562691997,0.863765299320221,376432000
2000-02-25,AAPL,0.860837001828626,0.8772381530325836,0.8256909699283911,0.8275652527809143,249144000
2000-02-28,AAPL,0.825690991693633,0.8622427116702888,0.8125699102151474,0.849121630191803,328328000
2000-02-29,AAPL,0.8514645971443965,0.8791125502243973,0.8439665638059514,0.8594313263893127,368961600
2000-03-01,AAPL,0.8889534541285039,0.9901726373490048,0.888484858385111,0.9770515561103821,1077003200
2000-03-02,AAPL,0.9522163037341701,0.9592450420502542,0.9048863157389804,0.9147273302078247,311259200
2000-03-03,AAPL,0.9362827648928373,0.9614711189527503,0.8997318871259792,0.9597134590148926,323366400
2000-03-06,AAPL,0.944717942739261,0.9681486331824704,0.937219809466978,0.9423750638961792,210560000
2000-03-07,AAPL,0.9479978764011014,0.9554960085916827,0.9081660387434191,0.9212871193885803,273011200
2000-03-08,AAPL,0.9212874726220447,0.9292542035893715,0.8889537547577804,0.9147273302078247,271230400
2000-03-09,AAPL,0.906291812389073,0.9372197326152472,0.8866105906195206,0.9166014194488525,276718400
2000-03-10,AAPL,0.9123844210576699,0.9592450107756696,0.9072291655636673,0.9428438544273376,248606400
2000-03-13,AAPL,0.9156644115011489,0.9484667213084071,0.8959823849388596,0.9095720648765564,303956800
2000-03-14,AAPL,0.9088689175232862,0.931596761937447,0.8547445578687408,0.8566189408302307,428579200
2000-03-15,AAPL,0.8669286981712626,0.9016060903565633,0.8556818979200369,0.8716144561767578,443609600
2000-03-16,AAPL,0.8795808702221753,0.9147268456201935,0.8584930647504146,0.9114459753036499,378100800
2000-03-17,AAPL,0.9006685260013096,0.9372193813323975,0.8969189605484439,0.9372193813323975,305043200
2000-03-20,AAPL,0.9259736299310499,0.94659193853112,0.917538307639028,0.9222241640090942,204489600
2000-03-21,AAPL,0.9189442455656253,1.0253185783296008,0.9119155099086376,1.0117290019989014,524328000
2000-03-22,AAPL,0.9955618509853588,1.0824892893534206,0.9864236860511687,1.0810827016830444,567996800
2000-03-23,AAPL,1.06468174957119,1.1274756747083614,1.0496863870652358,1.0595273971557617,562564800
2000-03-24,AAPL,1.0679619113817955,1.0792087095219933,1.0159461832379422,1.0398454666137695,446913600
2000-03-27,AAPL,1.0318795029306636,1.0853009111018341,1.0262556541280832,1.0464062690734863,279182400
2000-03-28,AAPL,1.029067271299699,1.0646818486890555,1.0281300798256832,1.0431263446807861,202966400
2000-03-29,AAPL,1.045000815764693,1.04546931143531,1.0034113138766183,1.019227147102356,239836800
2000-03-30,AAPL,1.0014197417337414,1.0323484717315479,0.9405008749944057,0.9428438544273376,414400000
2000-03-31,AAPL,0.9554957718116796,1.0290669837655837,0.9447175723425396,1.0182896852493286,404633600
2000-04-03,AAPL,1.0159461888367685,1.0459378175524172,0.9704914013507338,0.9995450377464294,328563200
2000-04-04,AAPL,0.9943903778763773,0.9972018513206978,0.8753634937734232,0.9545585513114929,660329600
2000-04-05,AAPL,0.9482321573844117,0.9962649724435144,0.9297224755511343,0.9775209426879883,457665600
2000-04-06,AAPL,0.9793953818400866,1.0084490200412775,0.9240986789714887,0.9386263489723206,259627200
2000-04-07,AAPL,0.9540903087004559,0.9887668958446877,0.9409692268550441,0.9878298044204712,242435200
2000-04-10,AAPL,0.9873608097362093,0.995327535158983,0.9353450991353127,0.9372193813323975,212262400
2000-04-11,AAPL,0.9259740039499129,0.9362827119373527,0.8852041640237092,0.8955137729644775,541822400
2000-04-12,AAPL,0.8922334139288156,0.8922334139288156,0.7863276356780298,0.8191298842430115,941136000
2000-04-13,AAPL,0.83600077921254,0.8997318674060977,0.8135072272572689,0.8533390760421753,529827200
2000-04-14,AAPL,0.8195986931973532,0.8847355125442283,0.8172557642133166,0.8388121724128723,667620800
2000-04-17,AAPL,0.8210053543564823,0.9292540987596155,0.8177244326190112,0.928785502910614,409561600
2000-04-18,AAPL,0.9259738343297135,0.951278805732727,0.89504501317296,0.951278805732727,390924800
2000-04-19,AAPL,0.946123730486032,0.9765830574706358,0.897856562210963,0.9081661701202393,520150400
2000-04-20,AAPL,0.9273793764690387,0.9353453027792011,0.8777065328261668,0.8912962079048157,722120000
2000-04-24,AAPL,0.8622424954502886,0.9034801125526427,0.8603682130183632,0.9034801125526428,443620800
2000-04-25,AAPL,0.9156648058972663,0.9653376886960382,0.9151962098501222,0.9620568156242371,391641600
2000-04-26,AAPL,0.9494038128930998,0.9597134220195543,0.8997318524428296,0.9095720648765564,366912000
2000-04-27,AAPL,0.8786436907485397,0.9522158121107874,0.874074657825965,0.9503406286239624,326603200
2000-04-28,AAPL,0.9531528675328065,0.955964340985653,0.9095715753610546,0.9301906824111938,249580800
2000-05-01,AAPL,0.9362825291955518,0.9381577130244406,0.9137899334158498,0.9320653676986694,226195200
2000-05-02,AAPL,0.9240984294157418,0.9465919210375799,0.8809865294689881,0.8837980031967163,236432000
